City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2022-10-11 21:22:30,-33.5906,26.891,292.69,85,93,0.89
68,Punta Alta,AR,2022-10-11 21:22:24,-38.8759,-62.0736,296.25,26,58,5.7
69,Grindavik,IS,2022-10-11 21:26:57,63.8424,-22.4338,280.12,75,40,7.72
70,Nantucket,US,2022-10-11 21:25:14,41.2835,-70.0995,291.21,76,0,3.6
71,Tocopilla,CL,2022-10-11 21:24:48,-22.092,-70.1979,291.66,62,20,5.28
72,Makat,KZ,2022-10-11 21:26:58,47.6469,53.3463,288.98,60,99,6.92
73,Port Macquarie,AU,2022-10-11 21:26:58,-31.4333,152.9167,288.09,94,100,2.57
74,Esperance,AU,2022-10-11 21:26:59,-33.8667,121.9,284.52,72,49,7.06
75,Daura,NG,2022-10-11 21:26:59,11.5538,11.4085,298.63,60,7,3.22
76,Teluknaga,ID,2022-10-11 21:27:00,-6.0989,106.6381,297.94,94,20,1.54
77,Castro,BR,2022-10-11 21:27:00,-24.7911,-50.0119,292.09,86,90,2.26
78,Varhaug,NO,2022-10-11 21:27:01,58.6147,5.6457,281.96,79,100,0.52
79,Pevek,RU,2022-10-11 21:27:01,69.7008,170.3133,269.62,81,100,9.92
80,Puerto Ayora,EC,2022-10-11 21:27:02,-0.7393,-90.3518,297.13,84,98,2.68
81,Westport,US,2022-10-11 21:27:02,41.1415,-73.3579,294.9,58,0,4.12
82,Provideniya,RU,2022-10-11 21:25:05,64.3833,-173.3,273.35,74,0,2.0
83,Souillac,MU,2022-10-11 21:27:03,-20.5167,57.5167,295.36,73,40,4.12
84,Ponta Delgada,PT,2022-10-11 21:27:04,37.7333,-25.6667,295.65,78,75,1.54
85,Severo-Kurilsk,RU,2022-10-11 21:23:58,50.6789,156.125,283.2,89,67,7.66
86,East London,ZA,2022-10-11 21:27:05,-33.0153,27.9116,293.78,72,85,7.28
87,Severnyy,RU,2022-10-11 21:27:06,50.677,36.5532,282.17,87,0,5.0
88,Cidreira,BR,2022-10-11 21:27:07,-30.1811,-50.2056,291.14,98,100,4.12
89,Mastic Beach,US,2022-10-11 21:27:07,40.7668,-72.8521,294.32,65,0,3.6
90,Antalaha,MG,2022-10-11 21:27:08,-14.9003,50.2788,292.22,87,3,3.36
91,Tiksi,RU,2022-10-11 21:27:08,71.6872,128.8694,267.76,81,100,8.86
92,Chokurdakh,RU,2022-10-11 21:27:09,70.6333,147.9167,260.89,85,89,4.1
93,Atar,MR,2022-10-11 21:24:03,20.5169,-13.0499,308.57,19,100,3.0
94,Gamba,GA,2022-10-11 21:28:11,-2.65,10.0,297.93,89,100,2.08
95,Honiara,SB,2022-10-11 21:28:11,-9.4333,159.95,300.5,79,5,0.68
96,Yellowknife,CA,2022-10-11 21:27:58,62.456,-114.3525,274.44,80,100,11.83
97,Leeton,AU,2022-10-11 21:28:12,-34.5667,146.4,288.09,76,96,6.46
98,Hermanus,ZA,2022-10-11 21:28:13,-34.4187,19.2345,289.71,97,100,1.67
99,Hilo,US,2022-10-11 21:28:14,19.7297,-155.09,306.08,71,20,3.09
100,Tongchuan,CN,2022-10-11 21:28:14,35.0806,109.0897,282.21,50,98,1.85
101,Ruteng,ID,2022-10-11 21:28:15,-8.6136,120.4721,290.05,87,100,0.83
102,Laguna,US,2022-10-11 21:26:13,38.421,-121.4238,306.03,35,0,2.06
103,Iracoubo,GF,2022-10-11 21:28:16,5.4802,-53.2011,300.54,79,72,4.12
104,Khatanga,RU,2022-10-11 21:28:17,71.9667,102.5,270.19,94,100,1.63
105,Musiri,IN,2022-10-11 21:26:01,10.9333,78.45,299.17,92,80,0.81
106,Bluff,NZ,2022-10-11 21:28:18,-46.6,168.3333,282.88,51,89,0.97
107,Chapais,CA,2022-10-11 21:28:18,49.7834,-74.8492,287.03,63,58,4.88
108,Salinopolis,BR,2022-10-11 21:28:19,-0.6136,-47.3561,300.68,77,79,5.91
109,Port Elizabeth,ZA,2022-10-11 21:28:11,-33.918,25.5701,292.31,85,20,3.6
110,Cape Town,ZA,2022-10-11 21:28:20,-33.9258,18.4232,290.52,89,20,5.14
111,Stornoway,GB,2022-10-11 21:28:21,58.2093,-6.3865,285.13,95,75,12.35
112,Tasiilaq,GL,2022-10-11 21:28:21,65.6145,-37.6368,273.24,99,100,1.21
113,Upernavik,GL,2022-10-11 21:28:22,72.7868,-56.1549,266.11,74,100,1.6
114,Egvekinot,RU,2022-10-11 21:28:22,66.3167,-179.1667,263.32,62,5,2.53
115,Qasigiannguit,GL,2022-10-11 21:28:23,68.8193,-51.1922,270.29,84,100,2.2
116,Qidong,CN,2022-10-11 21:28:24,31.8128,121.6561,289.78,69,0,3.74
117,Jamestown,US,2022-10-11 21:28:24,42.097,-79.2353,293.44,35,75,4.63
118,Port Moresby,PG,2022-10-11 21:28:25,-9.4431,147.1797,297.83,94,20,1.03
119,Koboko,UG,2022-10-11 21:28:26,3.4136,30.9599,289.69,92,93,1.94
120,Liaozhong,CN,2022-10-11 21:28:27,41.5061,122.7242,278.73,58,0,3.74
121,Palauig,PH,2022-10-11 21:28:27,15.435,119.9045,299.83,78,95,2.24
122,Monte Gordo,PT,2022-10-11 21:28:28,37.1819,-7.4523,294.12,74,17,2.61
123,Berlevag,NO,2022-10-11 21:28:29,70.8578,29.0864,282.12,66,0,12.86
124,Georgetown,MY,2022-10-11 21:28:30,5.4112,100.3354,300.31,85,20,2.06
125,Sri Aman,MY,2022-10-11 21:28:31,1.2376,111.4621,296.18,100,100,1.54
126,Opochka,RU,2022-10-11 21:28:31,56.7105,28.6617,281.38,87,99,3.03
127,Butaritari,KI,2022-10-11 21:28:32,3.0707,172.7902,301.0,78,30,8.99
128,Bara,NG,2022-10-11 21:28:32,10.3744,10.7288,298.18,69,77,1.63
129,Matara,LK,2022-10-11 21:28:33,5.9485,80.5353,297.47,91,23,3.49
130,Saldanha,ZA,2022-10-11 21:28:34,-33.0117,17.9442,289.18,93,99,6.93
131,Russell,US,2022-10-11 21:28:34,32.3502,-85.1999,301.75,45,0,1.54
132,Mount Isa,AU,2022-10-11 21:23:45,-20.7333,139.5,292.02,52,45,0.0
133,Carnarvon,AU,2022-10-11 21:28:36,-24.8667,113.6333,289.59,62,64,11.93
134,Sur,OM,2022-10-11 21:28:36,22.5667,59.5289,299.89,39,3,3.78
135,Bengkulu,ID,2022-10-11 21:28:37,-3.8004,102.2655,296.54,87,99,1.6
136,Itarema,BR,2022-10-11 21:25:22,-2.9248,-39.9167,299.53,76,65,7.33
137,Beaufort,MY,2022-10-11 21:28:38,5.3473,115.7455,295.82,96,100,1.37
138,Mount Gambier,AU,2022-10-11 21:28:38,-37.8333,140.7667,286.36,50,100,3.63
139,Awjilah,LY,2022-10-11 21:28:39,29.1081,21.2869,297.46,35,100,3.22
140,Chivilcoy,AR,2022-10-11 21:28:39,-34.8957,-60.0167,296.42,15,36,0.92
141,Hathras,IN,2022-10-11 21:29:40,27.6,78.05,296.73,80,1,2.23
142,Aberdeen,GB,2022-10-11 21:29:41,57.1437,-2.0981,284.42,86,91,5.14
143,Hobart,AU,2022-10-11 21:28:56,-42.8794,147.3294,287.74,80,100,3.6
144,Belmonte,BR,2022-10-11 21:29:42,-15.8631,-38.8828,297.06,80,2,3.77
145,Sinazongwe,ZM,2022-10-11 21:29:43,-17.2614,27.4618,298.47,41,4,2.84
146,Oussouye,SN,2022-10-11 21:29:43,12.485,-16.5469,302.25,88,100,3.26
147,El Angel,EC,2022-10-11 21:29:44,0.6167,-77.9333,282.64,57,97,2.25
148,Tura,IN,2022-10-11 21:29:44,25.5198,90.2201,294.99,99,100,1.84
149,Kaitangata,NZ,2022-10-11 21:29:45,-46.2817,169.8464,283.41,47,47,0.93
150,Yulara,AU,2022-10-11 21:29:46,-25.2406,130.9889,295.67,22,71,4.74
151,Roald,NO,2022-10-11 21:29:46,62.5833,6.1333,281.9,87,75,5.14
152,Ilulissat,GL,2022-10-11 21:29:47,69.2167,-51.1,270.16,74,75,0.51
153,Akom,CM,2022-10-11 21:29:47,2.6678,12.7109,292.44,99,47,1.23
154,Vostok,RU,2022-10-11 21:29:06,46.4856,135.8833,271.36,97,22,2.19
155,Kachug,RU,2022-10-11 21:29:48,53.9606,105.8817,275.76,87,100,1.5
156,Chuy,UY,2022-10-11 21:29:48,-33.6971,-53.4616,286.69,98,100,5.45
157,Raudeberg,NO,2022-10-11 21:25:13,61.9875,5.1352,280.52,1,100,8.47
158,Margate,GB,2022-10-11 21:27:41,51.3813,1.3862,281.65,64,49,1.99
159,Huarmey,PE,2022-10-11 21:29:50,-10.0681,-78.1522,292.61,74,27,5.16
160,Biltine,TD,2022-10-11 21:29:50,14.5333,20.9167,304.16,31,66,5.02
161,San Cristobal,VE,2022-10-11 21:29:51,7.7669,-72.225,300.25,51,17,2.8
162,Thompson,CA,2022-10-11 21:25:39,55.7435,-97.8558,289.24,59,100,5.14
163,Praia,CV,2022-10-11 21:29:53,14.9215,-23.5087,298.45,88,75,4.12
164,Kahului,US,2022-10-11 21:25:32,20.8947,-156.47,304.16,71,20,4.63
165,Murupara,NZ,2022-10-11 21:29:54,-38.4667,176.7,290.19,97,100,1.16
166,Wanning,CN,2022-10-11 21:29:55,18.8003,110.3967,293.7,78,98,4.43
167,Andenes,NO,2022-10-11 21:29:55,69.3143,16.1194,279.14,75,75,11.83
168,Dubbo,AU,2022-10-11 21:29:56,-32.25,148.6167,287.22,77,87,5.66
169,Drovyanaya,RU,2022-10-11 21:29:56,51.5833,113.0333,274.17,85,29,3.26
170,Cherskiy,RU,2022-10-11 21:29:57,68.75,161.3,261.77,93,99,4.75
171,Lasa,IT,2022-10-11 21:29:57,46.6166,10.7002,287.64,91,94,0.83
172,Belyy Yar,RU,2022-10-11 21:29:58,53.6039,91.3903,282.09,70,0,8.0
173,Te Anau,NZ,2022-10-11 21:29:58,-45.4167,167.7167,282.08,57,35,1.05
174,Araouane,ML,2022-10-11 21:29:59,18.9048,-3.5265,307.37,13,73,1.13
175,Nikolskoye,RU,2022-10-11 21:29:59,59.7035,30.7861,280.81,82,100,3.88
176,Kruisfontein,ZA,2022-10-11 21:30:00,-34.0033,24.7314,290.31,87,99,2.85
177,Carutapera,BR,2022-10-11 21:30:00,-1.195,-46.02,300.1,76,72,3.49
178,Cayenne,GF,2022-10-11 21:30:01,4.9333,-52.3333,302.17,74,0,2.06
179,Klyuchi,RU,2022-10-11 21:31:02,52.2667,79.1667,281.05,62,100,3.1
180,Novyy Urengoy,RU,2022-10-11 21:31:02,66.0833,76.6333,276.6,90,100,5.57
181,Talnakh,RU,2022-10-11 21:31:03,69.4865,88.3972,273.82,93,100,4.31
182,Tay Ninh,VN,2022-10-11 21:31:06,11.3,106.1,296.77,94,100,3.0
183,Vestmannaeyjar,IS,2022-10-11 21:31:06,63.4427,-20.2734,280.46,75,96,9.9
184,Viedma,AR,2022-10-11 21:31:07,-40.8135,-62.9967,294.3,22,58,3.78
185,Grajau,BR,2022-10-11 21:31:08,-5.8194,-46.1386,302.67,40,99,0.12
186,Sao Joao Da Barra,BR,2022-10-11 21:31:09,-21.6403,-41.0511,298.2,83,16,7.5
187,Esmeraldas,BR,2022-10-11 21:31:09,-19.7625,-44.3139,302.63,37,93,5.06
188,Tsabong,BW,2022-10-11 21:31:10,-26.0217,22.401,297.51,19,15,8.07
189,Vila Franca Do Campo,PT,2022-10-11 21:31:11,37.7167,-25.4333,295.48,81,10,0.85
190,Peleduy,RU,2022-10-11 21:31:12,59.6289,112.7406,275.89,97,100,3.85
