City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yatou,CN,37.15,122.3833,57.72,38,4,16.17,clear sky
80,Tuatapere,NZ,-46.1333,167.6833,53.02,71,99,11.77,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,26.51,94,100,25.32,snow
82,Beringovskiy,RU,63.05,179.3167,25.47,62,94,15.93,overcast clouds
83,New Norfolk,AU,-42.7826,147.0587,58.91,52,97,3.0,overcast clouds
84,Elmira,US,42.0898,-76.8077,48.88,79,0,0.0,clear sky
85,Te Anau,NZ,-45.4167,167.7167,56.59,44,100,4.54,overcast clouds
86,Thompson,CA,55.7435,-97.8558,19.35,90,84,4.43,broken clouds
87,Kahului,US,20.8947,-156.47,87.82,52,20,20.71,few clouds
88,Clyde River,CA,70.4692,-68.5914,30.43,100,100,17.27,light snow
89,Olafsvik,IS,64.8945,-23.7142,37.04,80,35,11.81,scattered clouds
90,Saint Marys,US,30.7305,-81.5465,76.01,81,0,8.05,clear sky
91,Cabo San Lucas,MX,22.8909,-109.9124,81.61,64,40,11.5,scattered clouds
92,Lincoln,US,40.8,-96.667,45.27,52,7,3.0,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,67.57,61,36,22.75,light rain
94,Yurty,RU,56.0498,97.6348,34.11,65,54,3.69,broken clouds
95,Ushuaia,AR,-54.8,-68.3,44.26,57,0,2.3,clear sky
96,Waw,SS,7.7029,27.9953,68.36,92,100,3.06,light rain
97,Dasoguz,TM,41.8363,59.9666,57.51,62,83,13.06,broken clouds
98,Nome,US,64.5011,-165.4064,35.67,87,100,6.91,light rain
99,Bredasdorp,ZA,-34.5322,20.0403,60.58,88,39,6.87,light rain
100,Raudeberg,NO,61.9875,5.1352,48.87,1,34,26.22,scattered clouds
101,Atuona,PF,-9.8,-139.0333,76.75,74,8,8.03,clear sky
102,Guerrero Negro,MX,27.9769,-114.0611,69.42,66,3,14.27,clear sky
103,Denpasar,ID,-8.65,115.2167,80.26,94,75,5.75,broken clouds
104,Coahuayana,MX,18.7333,-103.6833,78.62,88,69,0.81,broken clouds
105,Inuvik,CA,68.3499,-133.7218,30.96,93,100,9.22,light snow
106,Owando,CG,-0.4819,15.8999,69.01,98,99,3.0,overcast clouds
107,Marang,MY,5.2056,103.2059,85.96,82,100,4.74,light rain
108,Klang,MY,3.0333,101.45,88.65,91,100,4.92,overcast clouds
109,Torbay,CA,47.6666,-52.7314,54.57,92,100,5.99,light rain
110,Chuy,UY,-33.6971,-53.4616,58.48,91,100,17.98,overcast clouds
111,Nakamura,JP,32.9833,132.9333,67.93,98,100,1.83,overcast clouds
112,Turan,VN,16.0678,108.2208,84.18,51,20,6.91,few clouds
113,Mao,ES,39.8885,4.2658,72.16,88,75,8.05,broken clouds
114,Yumen,CN,40.2833,97.2,48.25,22,0,3.18,clear sky
115,Sao Pedro Do Sul,BR,-29.6206,-54.1789,54.46,93,0,3.65,clear sky
116,Dire,ML,12.2833,-10.9667,72.77,90,83,3.15,broken clouds
117,Touros,BR,-5.1989,-35.4608,77.18,80,100,16.26,overcast clouds
118,Qarchi Gak,AF,37.04,66.7889,65.55,25,65,8.63,broken clouds
119,Saint George,US,37.1041,-113.5841,74.95,28,0,12.66,clear sky
120,Pitimbu,BR,-7.4706,-34.8086,75.79,82,69,8.88,broken clouds
121,Brigantine,US,39.4101,-74.3646,61.02,79,0,3.0,clear sky
122,Annau,TM,37.8876,58.516,67.6,47,2,3.6,clear sky
123,Vestmannaeyjar,IS,63.4427,-20.2734,42.51,62,3,4.07,clear sky
124,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,75,11.5,light intensity shower rain
125,Stornoway,GB,58.2093,-6.3865,49.96,76,100,14.97,overcast clouds
126,Mount Gambier,AU,-37.8333,140.7667,60.51,48,100,4.36,overcast clouds
127,Nyurba,RU,63.2842,118.3319,30.18,92,99,6.42,overcast clouds
128,Zhigansk,RU,66.7697,123.3711,19.92,92,12,9.06,few clouds
129,Constitucion,CL,-35.3333,-72.4167,50.4,92,62,12.53,broken clouds
130,Severo-Kurilsk,RU,50.6789,156.125,49.93,82,100,18.14,overcast clouds
131,Tiksi,RU,71.6872,128.8694,19.49,88,100,20.27,overcast clouds
